variable name,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2000sf1,2000sf3
male_black_hs,C15002B_004,C15002B_004,C15002B_004,C15002B_004,C15002B_004,C15002B_004,C15002B_004,C15002B_004,C15002B_004,C15002B_004,C15002B_004,,P148B005
male_black_somecoll,C15002B_005,C15002B_005,C15002B_005,C15002B_005,C15002B_005,C15002B_005,C15002B_005,C15002B_005,C15002B_005,C15002B_005,C15002B_005,,
male_black_somecoll_a,,,,,,,,,,,,,P148B006
male_black_somecoll_b,,,,,,,,,,,,,P148B007
male_black_collplus,C15002B_006,C15002B_006,C15002B_006,C15002B_006,C15002B_006,C15002B_006,C15002B_006,C15002B_006,C15002B_006,C15002B_006,C15002B_006,,
male_black_collplus_a,,,,,,,,,,,,,P148B008
male_black_collplus_b,,,,,,,,,,,,,P148B009
female_black_lths,C15002B_008,C15002B_008,C15002B_008,C15002B_008,C15002B_008,C15002B_008,C15002B_008,C15002B_008,C15002B_008,C15002B_008,C15002B_008,,
female_black_lths_a,,,,,,,,,,,,,P148B011
female_black_lths_b,,,,,,,,,,,,,P148B012
female_black_hs,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,,P148B013
female_black_somecoll,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,,
female_black_somecoll_a,,,,,,,,,,,,,P148B014
female_black_somecoll_b,,,,,,,,,,,,,P148B015
female_black_collplus,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,,
female_black_collplus_a,,,,,,,,,,,,,P148B016
female_black_collplus_b,,,,,,,,,,,,,P148B017
male_aian_lths,C15002C_003,C15002C_003,C15002C_003,C15002C_003,C15002C_003,C15002C_003,C15002C_003,C15002C_003,C15002C_003,C15002C_003,C15002C_003,,
male_aian_lths_a,,,,,,,,,,,,,P148C003
male_aian_lths_b,,,,,,,,,,,,,P148C004
male_aian_hs,C15002C_004,C15002C_004,C15002C_004,C15002C_004,C15002C_004,C15002C_004,C15002C_004,C15002C_004,C15002C_004,C15002C_004,C15002C_004,,P148C005
